lemma_POS,ipm_corpus1,ipm_corpus2,ipm_corpus3,dominant_corpus,LLR_corpus1_vs_corpus2,LLR_corpus1_vs_corpus3,LLR_corpus2_vs_corpus3
давыл_n,32.93103448,0.0,9.089807296,corpus1,15.88468070825299,12.880643519090276,4.6407514459105546
сакал_n,32.92241379,0.0,0.0,corpus1,15.880522414707185,43.563012699055136,0.0
тудыр_v,353.7586207,144.7213418,319.4764271,corpus1,15.878935376551539,0.240149504049608,18.401209801833204
әмер_n,32.82758621,0.0,8.039429564,corpus1,15.834781190526963,14.580603071443914,4.104486834374039
йөкләмә_n,32.80172414,0.0,35.38964974,corpus3,15.82230630988955,0.3342524127255002,18.06799229654132
өйрәт_v,264.3017241,114.245671,124.2273664,corpus1,15.820455949274397,43.07319555971698,73.77909181322072
ваемсыз_adj,32.77586207,0.0,0.0,corpus1,15.80983142925214,43.369095130308466,0.0
рәистәш_n,32.77586207,0.0,0.0,corpus1,15.80983142925214,43.369095130308466,0.0
ашханә_n,32.75862069,0.0,8.120227851,corpus1,15.801514842160532,14.375036603993157,4.145737958299111
ант_n,32.73275862,0.0,16.03845998,corpus1,15.78903996152312,4.811289411378485,8.188348104488089
мәңгелек_n,32.70689655,0.0,5.898274957,corpus1,15.77656508088571,18.830728135678083,3.0113320495937344
әгъза_n,327.0603448,51.00103512,442.6130166,corpus3,15.76150195395995,25.614099888500164,49.91575077477583
ассамблея_n,32.63793103,0.0,4.322708359,corpus1,15.743298732519277,22.7890192271566,2.206935132288957
чылтыр_v,32.59482759,0.0,0.0,corpus1,15.722507269613878,43.129549895213884,0.0
куәтле_adj,32.56034483,0.0,22.25992809,corpus1,15.705874095430662,1.3428178615636384,11.364684652334848
күнекмә_n,32.53448276,0.0,0.0,corpus1,15.693399214793253,43.04970147910502,0.0
коллега_n,32.52586207,0.0,10.70577304,corpus1,15.689240921247448,10.181469964379682,5.46577392645423
риваять_n,32.50862069,0.0,5.332686947,corpus1,15.68092433415584,19.980415258828906,2.7225741816076656
күрсәтмә_n,32.48275862,0.0,22.54272209,corpus1,15.668449453518427,1.224700799296139,11.509063583775161
үзгәреш_n,310.0603448,47.58014107,298.2264776,corpus1,15.665642202457086,0.09656270205010742,17.041867980670276
чит ил_n,269.6896552,39.34409103,0.0,corpus1,15.66089508947072,356.853964269471,117.272698377532
зарурлык_n,32.45689655,0.0,53.97325577,corpus3,15.655974572881018,6.881580323315568,27.555750809519434
тишек_n,32.43103448,0.0,0.0,corpus1,15.643499692243605,42.91281848006124,0.0
очрак_n,570.25,103.9448943,629.903446,corpus3,15.64211328127874,8.024600800818163,32.69560028903983
технология_n,264.612069,38.36886957,285.1371551,corpus3,15.611475707005944,2.6475080580920434,24.342756803117254
механизм_n,32.3362069,0.0,25.08786814,corpus1,15.597758468063383,0.5116155235800814,12.808473992265194
групп_n,32.31896552,0.0,0.0,corpus1,15.589441880971773,42.7645285776625,0.0
корпус_n,32.24137931,0.0,11.19056276,corpus1,15.552017239059538,9.340446320665448,5.713280668983595
үгез_n,32.23275862,0.0,0.0,corpus1,15.547858945513735,42.65045941179269,0.0
кулланылыш_n,32.19827586,0.0,0.0,corpus1,15.53122577133052,42.60483174544476,0.0
идеология_n,32.17241379,0.0,19.14919404,corpus1,15.518750890693108,2.5588424719824587,9.776516380964186
илаһи_adj,32.1637931,0.0,5.332686947,corpus1,15.514592597147303,19.62941333010433,2.7225741816076656
тәхкыйк_n,32.14655172,0.0,0.0,corpus1,15.506276010055695,42.536390245922874,0.0
саллы_adj,32.0862069,0.0,0.0,corpus1,15.47716796005869,42.456541843046026,0.0
яула_v,328.9396552,135.7157811,255.1609906,corpus1,15.46881159901018,5.21362537629026,30.018825408646038
медаль_n,206.2758621,27.03192002,157.1930675,corpus1,15.448973853656888,3.8747729401148874,7.1841688676773785
комиссия_n,301.3189655,46.0411197,359.1079869,corpus3,15.413145357224039,9.447269287659395,33.68215607877522
юмор_n,31.94827586,0.0,9.736193593,corpus1,15.410635263325826,11.090129631432342,4.970760437821697
тирә-юнь_n,31.94827586,0.0,0.0,corpus1,15.410635263325826,42.27403117765432,0.0
сора_v,576.8706897,216.8343979,689.2093888,corpus3,15.402450165340099,18.485109884155662,1.0066545705389771
кылыч_n,31.90517241,0.0,4.807498081,corpus1,15.389843795596807,20.692016059444256,2.4544418758394086
беренчел_adj,31.90517241,0.0,41.36872298,corpus3,15.389843795596807,1.907768810462759,21.120575468017964
апуш_n,31.87068966,0.0,0.0,corpus1,15.373210626237212,42.17136894160352,0.0
үтә_v,386.9741379,154.9154537,235.6886034,corpus1,15.360857085699735,28.067115571053066,57.41713505695505
хәзерге заман_n,31.81034483,0.0,0.0,corpus1,15.344102571416585,42.09152052549464,0.0
уңайлык_n,31.76724138,0.0,0.0,corpus1,15.323311103687566,42.03448594255973,0.0
хуҗабикә_n,31.72413793,0.0,9.372601301,corpus1,15.302519635958546,11.449592264257094,4.785130379903588
кеш_n,31.70689655,0.0,0.0,corpus1,15.294203048866938,41.954637526450874,0.0
ботак_n,31.68965517,0.0,0.0,corpus1,15.28588646177533,41.931823693276904,0.0
майор_n,31.6637931,0.0,0.0,corpus1,15.273411581137918,41.897602943515956,0.0
ышану_n,31.62068966,0.0,8.524219287,corpus1,15.25262011823252,12.7002807031772,4.35199357843503
рекорд_n,31.62068966,0.0,10.46337818,corpus1,15.25262011823252,9.82391865722634,5.34202055518955
кәрәзле_adj,31.62068966,0.0,0.0,corpus1,15.25262011823252,41.84056837381308,0.0
камыр_n,31.5862069,0.0,7.635438129,corpus1,15.235986944049305,14.210290879735174,3.898231214748664
автобиографик_adj,31.56034483,0.0,0.0,corpus1,15.223512063411892,41.760719957704204,0.0
шеш_n,31.54310345,0.0,18.90679918,corpus1,15.215195476320284,2.4406065691232097,9.652763009699505
кот_n,31.51724138,0.0,0.0,corpus1,15.202720595682873,41.7036853747693,0.0
песи_n,31.5,0.0,0.0,corpus1,15.194404008591265,41.68087154159534,0.0
фаҗигале_adj,31.5,0.0,23.55270068,corpus1,15.194404008591265,0.6982713007929373,12.02470263411496
тапшыр_v,624.5775862,231.637955,757.0799499,corpus3,15.187499616750031,22.642553340766113,0.453272384657776
фәлсәфи_adj,31.46551724,0.0,12.48333535,corpus1,15.177770834408049,7.302814497702544,6.373298650763704
гәрчә_cnjsub,31.46551724,0.0,35.3492506,corpus3,15.177770834408049,0.5435634066960366,18.047366736365685
тәнкыйтьче_n,31.43965517,0.0,4.68630065,corpus1,15.165295953770638,20.52406134773934,2.392565189696522
төпле_adj,31.42241379,0.0,20.88635721,corpus1,15.15697936667903,1.5149512189182257,10.663415545098024
теория_n,31.4137931,0.0,13.25091908,corpus1,15.152821073133225,6.485577542811244,6.765184329838817
челпәрәмә_n,31.40517241,0.0,0.0,corpus1,15.148662779587422,41.55539545913854,0.0
аренда_n,31.3362069,0.0,14.13970024,corpus1,15.11539643604461,5.611465237785227,7.218946694546279
каравон_n,31.32758621,0.0,0.0,corpus1,15.111238142498808,41.45273322308772,0.0
әни_n,721.2931034,139.1671508,54.90243607,corpus1,15.09291211521149,637.4215537904233,211.64113815292518
әрәм ит_v,0.0,4.898964085,0.0,corpus2,15.092488768206648,0.0,14.602313141876825
партнер_n,31.28448276,0.0,8.968609865,corpus1,15.090446674769789,11.709742243765021,4.578874759767669
куш_v,512.9051724,195.5928553,463.7417687,corpus1,15.084545359752681,0.32719692695856395,18.011463017311257
диссертация_n,31.25,0.0,11.19056276,corpus1,15.073813500586573,8.627400408577676,5.713280668983595
